Company,Location,# Laid Off,Date,%,Industry,Source,Stage,$ Raised,Country,Date Added
Rivian,Los Angeles,120,5/6/2024,,Transportation,https://www.theinformation.com,Post-IPO,$26 ,United States,5/11/2024
Google,SF Bay Area,57,8/1/2024,,Travel,https://www.bloomberg.com,Post-IPO,$574 ,United States,6/28/2024
Vacasa,Portland,800,7/30/2024,13%,Energy,https://www.bostonglobe.com,Post-IPO,"$1,600 ",United States,6/23/2024
Enovix,SF Bay Area,170,6/20/2024,33%,Finance,https://spacenews.com,Post-IPO,$400 ,United States,6/23/2024
Editas Medicine,Boston,,1/9/2023,20%,Healthcare,https://endpts.com/e...,Post-IPO,$656 ,United States,1/19/2023
WalkMe,SF Bay Area,43,1/8/2023,3%,Other,https://www.360dx.co...,Post-IPO,$307 ,United States,1/9/2023
Cue,San Diego,388,1/5/2023,,Healthcare,https://gizmodo.com....,Post-IPO,$999 ,United States,1/6/2023
SoundHound,SF Bay Area,200,1/5/2023,50%,Other,https://www.theinfor...,Post-IPO,$326 ,United States,1/5/2023
Twitter,SF Bay Area,40,1/5/2023,,Consumer,https:/Avww.cnbc.co...,Post-IPO,"$12,900 ",United States,1/6/2023
Stitch Fix,SF Bay Area,,1/5/2023,20%,Retail,https://www.cmlviz.co...,Post-IPO,$79 ,United States,1/5/2023
TCR2,Boston,284,1/4/2023,40%,Healthcare,https://www.wsj.com/...,Post-IPO,$173 ,United States,1/5/2023
Amazon,Seattle,8000,1/4/2023,2%,Retail,https://www.nytimes...,Post-IPO,$108 ,United States,1/4/2023
Salesforce,SF Bay Area,8000,1/4/2023,10%,Sales,https://en.globes.co.il...,Post-IPO,$65 ,United States,1/4/2023
Kaltura,New York,75,1/4/2023,11%,Media,https://www.marketsc...,Post-IPO,$166 ,United States,1/5/2023
Butterfly Network,Boston,,1/3/2023,25%,Healthcare,https://vimeo.com/bl...,Post-IPO,$530 ,United States,1/18/2023
Vimeo,New York,,1/2/2023,11%,Consumer,https://www.bizjourn...,Post-IPO,$450 ,United States,1/4/2023
Pegasystems,Boston,245,1/1/2023,4%,HR,https://www.calcaliste...,Post-IPO,,United States,1/4/2023
Amdocs,St. Louis,700,12/22/2022,3%,Support,https://www.sandiego...,Post-IPO,,United States,7/6/2023
Micron,Boise,4800,12/21/2022,10%,Hardware,https://www.marketw...,Post-IPO,$50 ,United States,3/31/2023
Qualcomm,San Diego,153,12/15/2022,,Hardware,https://www.bizjourn...,Post-IPO,,United States,1/4/2023
TuSimple,San Diego,350,12/15/2022,25%,Transport,,Post-IPO,$648 ,United States,12/17/2022
BigCommerce,Austin,180,12/14/2022,13%,Retail,,Post-IPO,$224 ,United States,12/15/2022
Freshworks,SF Bay Area,90,,2%,Support,,Post-IPO,$484 ,United States,12/15/2022
Quanergy Systems,SF Bay Area,72,,,Transport,,Post-IPO,$175 ,United States,12/15/2022
Edgio,Phoenix,95,12/13/2022,10%,Infrastructure,https://www.marketsc...,Post-IPO,$462 ,United States,12/14/2022
Viant,Los Angeles,46,12/13/2022,10%,Marketing,https://www.businessi...,Post-IPO,$115 ,United States,12/21/2022
TechTarget,Boston,60,12/8/2022,5%,Marketing,https://www.marketw...,Post-IPO,$115 ,United States,12/11/2022
Bakkt,Atlanta,,12/8/2022,15%,Crypto,https://bakkt.com/ne...,Post-IPO,$932 ,United States,12/10/2022
Blue Apron,New York,,12/8/2022,10%,Food,https://investors.blue...,Post-IPO,$352 ,United States,12/8/2022
Nerdy,St. Louis,,12/8/2022,17%,Education,https://www.bizjourn...,Post-IPO,$150 ,United States,12/11/2022
Doma,SF Bay Area,515,12/6/2022,40%,Finance,https://investor.doma...,Post-IPO,$679 ,United States,12/7/2022
Intel,SF Bay Area,201,12/6/2022,12%,Hardware,https://www.crn.com...,Post-IPO,$12 ,United States,12/30/2022
BuzzFeed,New York,180,12/6/2022,12%,Media,https://variety.com/2...,Post-IPO,$696 ,United States,12/6/2022
Adobe,SF Bay Area,,12/6/2022,11%,Marketing,https://www.bloombe...,Post-IPO,$2 ,United States,12/7/2022
Zuora,SF Bay Area,,12/6/2022,,Finance,https://www.morningm...,Post-IPO,$647 ,United States,12/7/2022
Springbig,Miami,37,12/1/2022,23%,Sales,https://mjbizdaily.c...,Post-IPO,$32 ,United States,12/19/2022
SQZ Biotech,Boston,,12/1/2022,60%,Healthcare,https://www.fiercebio...,Post-IPO,$229 ,United States,12/11/2022
Synlogic,Boston,,12/1/2022,25%,Healthcare,https://www.fiercebio...,Post-IPO,$321 ,United States,12/11/2022
DoorDash,SF Bay Area,1250,11/30/2022,6%,Food,https://www.reuters.c...,Post-IPO,"$2,500 ",United States,11/30/2022
